Occupation,Level1Id,DescriptionLevel1
FITTER,17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"POLICE CONSTABLE",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
NONE,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"SCIENTIFIC INSTRUMENT MAKER",19,"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"
"STUDENT S P",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"CARMAN FURNITURE",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"CARMAN FURNITURE",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
COMPOSITOR,18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
PORTER,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"FITTER GENERAL",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"PAINTERS LABORER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
UPHOLSTERESS,22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
UPHOLSTERESS,22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"BUILDERS CLERK",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"PORTER CHINA AND GLASS",13,"PERSONS WORKING AND DEALING IN BRICK, CEMENT, POTTERY, AND GLASS"
"BUTLER DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"GROCERS ASSISTANT",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"CLERK WHOLESALE MILK CONTRACTORS",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"JOURNEYMAN CABINET MAKER",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"HAND EMBROIDERESS",21,"PERSONS WORKING AND DEALING IN TEXTILE FABRICS"
"DRAPERS APPRENTICE",21,"PERSONS WORKING AND DEALING IN TEXTILE FABRICS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
BURCHER,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"ELECTRICAL ENGINEER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
BLINDFIXER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"DAY SERVANT DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"DAY SCHOOL DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"DENTIST ASSISTANT",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"BANK MESSENGER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"VAN SALESMAN TEA DEPARTMENT",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
PLUMBER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
PORTER,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
PORTER,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
PORTER,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"PIANOFORTE MAKER VIZ THE EXTENSION PART OF A PIANO; GENERALLY KNOWN IN THE TRADE AS A PIANO FITTER",19,"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"
SORTER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
PACKER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"DOMESTIC SERVANT",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"WINDOW CLEANER",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"OLD AGE PENSIONER",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"BROTHERS HOUSEKEEPER",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"DOMESTIC SERVANT COOK GENERAL",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"FITTER ENGINEERS",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
BAKER,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"MOTOR BUS DRIVER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"SHOP ASSISTANT",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
MACHINIST,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"OFFICE BOY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"BAKER'S ROUNDSMAN",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"WOOD WORKING MACHINIST",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"HOUSE WORK",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"SHORT HAND TYPIST",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"STONE MASON",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"RAILWAY GENERAL",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"TICKET COLLECTOR",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
CARPENTER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"TELEPHONE OPERATOR",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
TAYLORESS,15,"PERSONS WORKING AND DEALING IN DRESS"
"C P O INSTRUCTOR R N V R",11,"PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"RAILWAY PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
ENGINEER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"ASSURANCE AGENT",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"DOMESTIC SERVANT",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
COACHMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
ROUNDSMAN,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"INSTRUMENT POLISHER",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"ERRAND BOY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"SAND LABOURER",23,"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"
"SAND LABOURER",23,"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"CAB DRIVER HORSE",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
FISHMONGER,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"DOMESTIC SERVANT UNEMPLOYED",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
FARRIER,17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
POSTMAN,9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
TELEGRAPHIST,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
INDEPENDENT,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
POSTMAN,9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
PACKER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"POLICE CONSTABLE",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"MOTOR CAR DRIVER CAB",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"ARCHITECT ASSISTANT",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"WAREHOUSEMAN RETIRED",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"CLERK RAILWAY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"CLERK MERCANTILE",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"POLICE PENSIONER",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"RETIRED SEWERAGE AND DRAINMAN",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"COAL DEALER",23,"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"
HAIRDRESSER,15,"PERSONS WORKING AND DEALING IN DRESS"
"ORNAMENTAL TILE HINES",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"BALIFF COUNTY COURT",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"ELECTRICIAN WIREMAN",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"CARPENTER AND JOINER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"CARPENTER JOINER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"CHIEF STEWARD L Z O COY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"SHORTHAND TYPIST",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"MOTOR CAB CLEANER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"BLOUSE HAND",15,"PERSONS WORKING AND DEALING IN DRESS"
"COAT ASSISTANT",15,"PERSONS WORKING AND DEALING IN DRESS"
"UPOLSTERY ASSISTANCE",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"PAINTER AND PLUMBER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"COOK DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
WAITRESS,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"ERRAND BOY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SADDLER,20,"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"
WAITER,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"STOCK KEEPER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
WAITER,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
NONE,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"GENERAL LABOURER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"LAUNDRY ASSISTANT",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"DENTAL INSTRUMENT MAKER",19,"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"
"MILK CARRIER",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
CLERK,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"COACHMAN DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"NAVAL PENSIONER MESSENGER",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
CLERK,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
BUTCHER,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
MACHINIST,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"PIANOFORTS TEACHER",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"MANAGER CHEESE MONGER",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
MUSICIAN,10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"PAINTER OF HOUSES",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"RESTAURANT WAITRESS",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"RAILWAY CARRIAGE WORKER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
HOME,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"CARPENTER AND PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
HOUSEKEEPER,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"CARPENTER AND JOINER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
BRICKLAYER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"MOTOR BUS DRIVER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"TAXI DRIVER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"PORTER HOUSE",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"JOINER AND CARPENTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"JOINER AND CARPENTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"BANK MESSENGER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"MOTOR CAR ENGINEER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"RAILWAY GOODS CHICKER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
IRONER,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"DAIRY ASSISTANT",2,"PERSONS ENGAGED IN AGRICULTURE"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"RETIRED WATCHMAN",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"PAINTERS LABOUR",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"MILL WORKER",21,"PERSONS WORKING AND DEALING IN TEXTILE FABRICS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"BAKER CREAD",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"FURRIER SEWER",20,"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"
TEACHER,10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"MERCHANTS CLERK",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"GENTLEMANS TAILORESS",15,"PERSONS WORKING AND DEALING IN DRESS"
"RAILWAY PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"FURRIER SEWER",20,"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"
"LABEL PACKER",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"CLERK SHIPPING",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"SCENE ARTIST",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"BOOT CLOSER",15,"PERSONS WORKING AND DEALING IN DRESS"
"HOUSE WIFE",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"POLICE CONSTABLE",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
DECORATOR,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"BUILDER'S HANDYMAN",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"GENERAL LABOURER IN MOTOR BUS GARAGE",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"GENERAL LABOURER IN MOTOR BUS GARAGE",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
BUTCHER,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"GOODS GUARD GT WESTERN RAILWAY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"BUIDERS HANDY AMN",23,"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"
"PLUMBERS ASSISTANT",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"SANITARY ENGINEER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"JOURNEYMAN BAKER",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"FOR PACKER",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"HAIR DRESSER",15,"PERSONS WORKING AND DEALING IN DRESS"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"PAINTER HOUSE",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"PRIVATE MEANS",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"POLICE CONSTABLE METROPOLITAN",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"MONTHLY NURSE",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"SERVANT DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"BUTLER DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"PACKER AT HARROD'S STORES",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"CARPENTER AND JOINER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"MILK CARRIER",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
LOADER,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"PENSIONED DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
RETIREDGLOCER,17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"ASSISTANT HEAD POSTMAN",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
DOMESTIC,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"TELEGRAPH MESSENGER",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"TELEGRAPH MESSENGER",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
POSTMAN,9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"PORTMANTEAM MAKER",20,"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"
"PRIVATE MEANS",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
PLASTERER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"GROCER'S ASSISTANT",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"TAXI CAB DRIVER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"LADY CLERK",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
CHEESEMONGER,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"POLICE CONSTABLE",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
HOUSEKEEPER,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"RECEIVING BRISK RELEIF",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"SPOON AND FORK MAKER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
CLERK,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"APPRENTICE PLATE WORKER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"SNOW ROOMS ASSISTANT",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
GREENGROCER,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
LAUNDRESS,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"WINE AND SPIRIT CELLARMAN",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
BOOTMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
